flair	hour	day	month	year	title	num_comments	score	award_count
Blog	0	5	1	2022	1	13	157	0
Blog	0	12	5	2021	1	5	113	0
Blog	0	15	3	2022	1	12	70	0
Blog	0	22	5	2023	1	33	182	0
Blog	2	15	8	2021	1	36	126	0
Blog	3	19	12	2023	1	11	74	0
Blog	4	1	7	2023	1	21	80	0
Blog	5	13	3	2023	1	53	72	0
Blog	5	23	5	2022	1	3	76	0
Blog	7	10	12	2022	1	26	69	0
Blog	7	14	6	2023	1	15	234	0
Blog	8	5	7	2023	1	7	98	0
Blog	8	12	12	2021	1	27	126	0
Blog	9	3	8	2023	1	51	161	0
Blog	9	21	3	2022	1	26	100	0
Blog	9	22	11	2022	1	16	147	0
Blog	9	29	10	2021	1	11	69	0
Blog	9	29	12	2023	1	11	92	0
Blog	10	8	12	2022	1	40	97	0
Blog	10	12	3	2022	1	16	152	0
Blog	10	13	8	2021	1	20	268	0
Blog	10	15	12	2023	1	110	492	0
Blog	10	20	1	2022	1	51	131	0
Blog	11	2	1	2024	1	10	182	0
Blog	11	5	10	2022	1	19	124	0
Blog	11	14	12	2021	1	86	118	0
Blog	11	18	9	2022	1	36	118	0
Blog	11	28	8	2022	1	18	70	0
Blog	11	30	9	2022	1	8	71	0
Blog	12	5	7	2021	1	29	153	0
Blog	12	7	1	2023	1	31	236	0
Blog	12	9	9	2023	1	14	147	0
Blog	12	11	9	2022	1	7	117	0
Blog	12	12	11	2022	1	0	77	0
Blog	12	20	9	2021	1	12	99	0
Blog	12	21	6	2022	1	64	188	0
Blog	12	29	10	2022	1	37	425	0
Blog	13	6	3	2023	1	12	136	0
Blog	13	6	11	2021	1	11	149	0
Blog	13	7	2	2024	1	14	126	0
Blog	13	7	11	2023	1	22	77	0
Blog	13	10	6	2023	1	12	103	0
Blog	13	11	7	2023	1	38	87	0
Blog	13	12	1	2023	1	50	86	0
Blog	13	18	6	2023	1	51	198	0
Blog	13	21	4	2023	1	18	222	0
Blog	13	22	1	2023	1	15	137	0
Blog	13	26	9	2022	1	8	87	0
Blog	14	10	3	2023	1	27	221	0
Blog	14	10	12	2021	1	20	86	0
Blog	14	24	3	2022	1	25	89	0
Blog	14	25	11	2021	1	6	73	0
Blog	14	29	8	2023	1	29	99	0
Blog	14	31	12	2022	1	30	154	0
Blog	15	16	2	2024	1	10	106	0
Blog	15	16	6	2023	1	33	78	0
Blog	15	29	8	2022	1	2	69	0
Blog	16	3	1	2023	1	11	89	0
Blog	16	4	11	2022	1	6	86	0
Blog	16	6	12	2022	1	22	176	0
Blog	16	11	5	2021	1	24	69	0
Blog	16	13	5	2023	1	46	167	0
Blog	17	5	2	2023	1	13	77	0
Blog	17	5	6	2022	1	5	83	0
Blog	17	11	8	2021	1	47	93	0
Blog	17	12	2	2022	1	15	70	0
Blog	17	12	4	2023	1	51	92	0
Blog	17	15	2	2022	1	34	64	0
Blog	17	16	2	2024	1	47	79	0
Blog	18	3	4	2023	1	56	234	0
Blog	18	4	9	2022	1	15	133	0
Blog	18	5	5	2021	1	13	119	0
Blog	18	5	10	2023	1	92	91	0
Blog	18	28	1	2022	1	45	218	0
Blog	19	6	8	2022	1	16	69	0
Blog	19	7	1	2022	1	5	93	0
Blog	19	11	2	2024	1	14	178	0
Blog	19	16	3	2023	1	13	87	0
Blog	20	10	2	2023	1	68	114	0
Blog	20	15	2	2024	1	48	71	0
Blog	20	15	11	2021	1	66	104	0
Blog	20	16	5	2023	1	27	184	0
Blog	20	25	1	2022	1	13	143	0
Blog	21	15	12	2023	1	81	218	0
Blog	21	20	10	2022	1	12	71	0
Blog	22	2	5	2023	1	6	70	0
Blog	22	8	11	2022	1	9	81	0
Blog	22	26	2	2022	1	44	112	0
Blog	22	30	4	2022	1	17	159	0
Blog	23	18	4	2023	1	29	133	0
Blog	23	19	1	2022	1	4	67	0
Blog	23	23	9	2022	1	5	70	0
Blog	23	29	11	2021	1	19	101	0
Career	0	4	10	2022	1	51	89	0
Career	0	7	2	2023	1	24	130	0
Career	0	9	1	2023	1	24	84	0
Career	0	15	8	2022	1	8	72	0
Career	0	17	10	2021	1	61	94	0
Career	0	19	2	2024	1	84	311	0
Career	0	25	1	2023	1	100	374	0
Career	1	1	5	2023	1	66	71	0
Career	1	9	5	2023	1	60	80	0
Career	1	9	10	2023	1	93	129	0
Career	1	12	5	2022	1	60	71	0
Career	1	19	2	2022	1	25	208	0
Career	2	18	1	2024	1	58	208	0
Career	2	20	9	2021	1	19	343	0
Career	3	4	2	2024	1	40	1289	0
Career	3	8	6	2021	1	29	143	0
Career	3	9	6	2023	1	111	100	0
Career	3	18	8	2021	1	45	82	0
Career	3	23	6	2021	1	71	186	0
Career	3	25	8	2023	1	37	231	0
Career	3	27	10	2023	1	107	79	0
Career	4	3	10	2021	1	68	131	0
Career	4	5	7	2023	1	55	148	0
Career	4	15	3	2023	1	143	95	0
Career	4	16	9	2022	1	44	72	0
Career	4	31	3	2023	1	63	152	0
Career	5	2	1	2024	1	25	68	0
Career	5	3	1	2024	1	55	75	0
Career	5	11	4	2023	1	32	78	0
Career	5	21	9	2021	1	12	116	0
Career	5	23	8	2022	1	44	75	0
Career	5	25	3	2022	1	15	123	0
Career	6	3	5	2023	1	72	79	0
Career	6	8	8	2023	1	41	86	0
Career	6	12	12	2023	1	29	108	0
Career	6	17	1	2023	1	51	263	0
Career	6	23	1	2024	1	88	105	0
Career	6	23	7	2022	1	36	82	0
Career	7	21	11	2022	1	65	90	0
